Konfiguracija,Run,ROI,Trajanje
Standardni GA,1,28.89,189.5512049895334
Standardni GA,2,26.849999999999998,188.96858715847495
Standardni GA,3,26.56,197.02613170418314
Standardni GA,4,28.07,215.61940052090137
Standardni GA,5,31.3,210.81480747825844
Standardni GA,6,28.09,193.1643726309269
Standardni GA,7,28.990000000000002,197.8396871945485
Standardni GA,8,31.02,202.0925436533131
Standardni GA,9,30.08,182.9151453947314
Standardni GA,10,30.0,214.1693308930853
Bez mutacije,1,27.15,198.08325068201341
Bez mutacije,2,28.88,202.60202256202072
Bez mutacije,3,26.72,170.09865394442514
Bez mutacije,4,28.25,201.04636058623916
Bez mutacije,5,27.41,196.1286693775783
Bez mutacije,6,26.93,194.26783492200778
Bez mutacije,7,31.52,210.4849395393667
Bez mutacije,8,27.29,185.62622871035217
Bez mutacije,9,25.259999999999998,197.57081204886236
Bez mutacije,10,26.86,179.06095087393845
Bez križanja,1,26.69,192.50697902196015
Bez križanja,2,23.25,184.08315737297488
Bez križanja,3,23.58,183.28350725558548
Bez križanja,4,27.91,195.38492185390712
Bez križanja,5,26.54,204.48798494482085
Bez križanja,6,25.23,194.12500783695447
Bez križanja,7,24.56,172.12058142455393
Bez križanja,8,26.96,189.75309017549114
Bez križanja,9,29.43,202.37976440009442
Bez križanja,10,24.689999999999998,197.01841657344437
Više generacija,1,31.41,195.1474234739308
Više generacija,2,30.96,190.15860672165417
Više generacija,3,31.03,216.07933735109083
Više generacija,4,31.08,206.44115585050977
Više generacija,5,30.59,227.75441090632143
Više generacija,6,33.72,228.6641311335576
Više generacija,7,30.16,196.22699357484436
Više generacija,8,30.66,192.65056689683297
Više generacija,9,31.53,194.63598738126078
Više generacija,10,30.69,202.5056639086758
Veća populacija,1,32.97,214.24130040780045
Veća populacija,2,30.89,208.48908511659184
Veća populacija,3,32.5,213.39220974679546
Veća populacija,4,30.76,201.58146155367191
Veća populacija,5,31.97,215.31794189800158
Veća populacija,6,30.7,217.65492551406524
Veća populacija,7,31.81,224.14689275567304
Veća populacija,8,32.19,211.99770503919197
Veća populacija,9,31.45,213.99287829304583
Veća populacija,10,31.59,216.12989979545767
